,Unnamed: 0,anime_id,title,type,source,episodes,airing,rating,score,rank,watched_by,members,favorites,producer,licensor,studio,genre,duration_min,aired_start,aired_end
2538,2538,31500,High School Fleet,TV,Original,12,False,PG-13 - Teens 13 or older,7.33,2306.0,1355,59878,478,"Aniplex, Half H.P Studio, Asmik Ace Entertainment, Graphinica, BS11, Contents Seed, Cromea",Aniplex of America,Production IMS,"Action, Military, School",24,2016-04-10,2016-06-26
2539,2539,9911,Houkago no Pleiades,ONA,Original,4,False,G - All Ages,6.19,6789.0,3083,14904,7,"Dentsu, Dentsu Razorfish, Dentsu Tec, SUBARU",,Gainax,Magic,6,2011-02-01,2011-02-01
2540,2540,2411,Ane to Boin,OVA,Visual novel,2,False,Rx - Hentai,6.79,,4027,8023,62,Milky Animation Label,JapanAnime,Flavors Soft,Hentai,30,2005-12-25,2006-07-25
2541,2541,35484,Osake wa Fuufu ni Natte kara,TV,Web manga,13,False,PG-13 - Teens 13 or older,6.94,3790.0,1275,63967,71,"VAP, Yomiko Advertising, Tokyo MX, GYAO!",,Creators in Pack,"Comedy, Romance, Slice of Life",3,2017-10-04,2017-12-27
2542,2542,7724,Shiki,TV,Novel,22,False,R - 17+ (violence & profanity),7.91,687.0,176,327807,5705,"Aniplex, Dentsu, Fuji TV, DAX Production, Shueisha",Funimation,Daume,"Mystery, Horror, Supernatural, Thriller, Vampire",22,2010-07-09,2010-12-31
2543,2543,32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,ONA,Manga,8,False,PG-13 - Teens 13 or older,7.91,670.0,2597,21136,76,,,Lerche,"Action, Comedy, School, Shounen",5,2016-03-11,2016-05-20
2544,2544,1067,Kishin Houkou Demonbane (TV),TV,Visual novel,12,False,R - 17+ (violence & profanity),6.66,4935.0,2155,29045,41,,,View Works,"Action, Harem, Magic, Romance, Ecchi, Mecha",25,2006-05-19,2006-08-18
2545,2545,5116,Candy Boy Episode: EX01 - Mirai Yohouzu,OVA,Original,1,False,PG-13 - Teens 13 or older,6.99,3588.0,2726,19221,11,,,AIC,"School, Shoujo Ai, Slice of Life",7,2008-08-13,2008-08-13
2546,2546,30705,Makura no Danshi,TV,Original,12,False,PG-13 - Teens 13 or older,4.75,9233.0,2380,24640,44,"Earth Star Entertainment, Assez Finaud Fabric",,feel.,Slice of Life,4,2015-07-14,2015-09-29
2547,2547,1954,Rayearth,OVA,Manga,3,False,PG-13 - Teens 13 or older,7.0,3574.0,3547,10904,26,"Polygram Japan, Kodansha, TMS-Kyokuchi",Manga Entertainment,TMS Entertainment,"Action, Adventure, Fantasy",45,1997-07-25,1997-11-24
