,Unnamed: 0,StateAbbr,StateDesc,City
148,205880,CO,Colorado,Boulder
149,206719,CO,Colorado,Centennial
150,207853,CO,Colorado,Colorado Springs
151,208251,CO,Colorado,Denver
152,214902,CO,Colorado,Fort Collins
153,216248,CO,Colorado,Greeley
154,217352,CO,Colorado,Lakewood
155,218637,CO,Colorado,Longmont
156,219276,CO,Colorado,Loveland
157,219780,CO,Colorado,Pueblo
158,220922,CO,Colorado,Thornton
159,221924,CO,Colorado,Westminster
160,222929,CT,Connecticut,Bridgeport
161,224046,CT,Connecticut,Danbury
162,224525,CT,Connecticut,Hartford
163,225699,CT,Connecticut,New Britain
164,226340,CT,Connecticut,New Haven
165,227261,CT,Connecticut,Norwalk
166,227914,CT,Connecticut,Stamford
167,228692,CT,Connecticut,Waterbury
168,229504,DE,Delaware,Wilmington
169,230260,DC,District of Columbia,Washington
170,230464,FL,Florida,Boca Raton
171,236132,FL,Florida,Boynton Beach
172,236860,FL,Florida,Cape Coral
173,237756,FL,Florida,Clearwater
174,238820,FL,Florida,Coral Springs
175,239601,FL,Florida,Davie
176,240276,FL,Florida,Deerfield Beach
177,240808,FL,Florida,Deltona
178,241368,FL,Florida,Fort Lauderdale
179,242836,FL,Florida,Gainesville
180,243987,FL,Florida,Hialeah
181,245242,FL,Florida,Hollywood
182,246278,FL,Florida,Jacksonville
183,249292,HI,Hawaii,Honolulu
184,250790,FL,Florida,Lakeland
185,251915,FL,Florida,Largo
186,253238,FL,Florida,Lauderhill
187,253714,FL,Florida,Melbourne
188,254465,FL,Florida,Miami
189,257430,FL,Florida,Miami Beach
190,258293,FL,Florida,Miami Gardens
191,259018,FL,Florida,Miramar
192,259522,FL,Florida,Orlando
193,261814,FL,Florida,Palm Bay
194,262318,FL,Florida,Palm Coast
195,262821,FL,Florida,Pembroke Pines
196,263710,FL,Florida,Plantation
197,264332,FL,Florida,Pompano Beach
198,265116,FL,Florida,Port St. Lucie
199,265787,FL,Florida,St. Petersburg
200,267799,FL,Florida,Sunrise
201,268475,FL,Florida,Tallahassee
202,270200,FL,Florida,Tampa
203,273380,FL,Florida,West Palm Beach
204,274351,GA,Georgia,Albany
205,275107,GA,Georgia,Athens
206,276003,GA,Georgia,Atlanta
207,279725,GA,Georgia,Augusta
208,281097,GA,Georgia,Columbus
209,282637,GA,Georgia,Johns Creek
210,283085,GA,Georgia,Macon
211,284146,GA,Georgia,Roswell
212,284706,GA,Georgia,Sandy Springs
213,285459,GA,Georgia,Savannah
214,287014,GA,Georgia,Warner Robins
215,294322,ID,Idaho,Boise City
216,295638,ID,Idaho,Meridian
217,295854,ID,Idaho,Nampa
218,296392,IL,Illinois,Arlington Heights
219,296643,IL,Illinois,Aurora
220,298318,IL,Illinois,Bloomington
221,299046,IL,Illinois,Bolingbrook
222,299578,IL,Illinois,Champaign
223,300245,IL,Illinois,Chicago
224,322614,IL,Illinois,Cicero
225,323118,IL,Illinois,Decatur
226,323986,IL,Illinois,Elgin
227,324824,IL,Illinois,Evanston
228,325384,IL,Illinois,Joliet
229,326725,IL,Illinois,Naperville
230,327814,IL,Illinois,Palatine
231,328290,IL,Illinois,Peoria
232,329382,IL,Illinois,Rockford
233,330997,IL,Illinois,Schaumburg
234,331778,IL,Illinois,Springfield
235,332098,IL,Illinois,Waukegan
236,333850,IN,Indiana,Bloomington
237,334516,IN,Indiana,Carmel
238,334988,IN,Indiana,Evansville
239,336271,IN,Indiana,Fishers
240,336579,IN,Indiana,Fort Wayne
241,338871,IN,Indiana,Gary
242,339795,IN,Indiana,Hammond
243,340383,IN,Indiana,Indianapolis
244,346273,IN,Indiana,Lafayette
245,346594,IN,Indiana,Muncie
246,347821,IN,Indiana,South Bend
247,349131,IA,Iowa,Cedar Rapids
248,350242,IA,Iowa,Davenport
249,351244,IA,Iowa,Des Moines
250,352977,IA,Iowa,Iowa City
251,353509,IA,Iowa,Sioux City
252,354208,IA,Iowa,Waterloo
253,355020,KS,Kansas,Kansas City
254,356830,KS,Kansas,Lawrence
255,357390,KS,Kansas,Olathe
256,358230,KS,Kansas,Overland Park
257,359651,KS,Kansas,Topeka
258,360806,KS,Kansas,Wichita
259,363933,KY,Kentucky,Lexington
260,366204,KY,Kentucky,Louisville
261,371460,LA,Louisiana,Baton Rouge
262,373342,LA,Louisiana,Kenner
263,373940,LA,Louisiana,Lafayette
264,374956,LA,Louisiana,Lake Charles
265,375628,LA,Louisiana,New Orleans
266,380422,LA,Louisiana,Shreveport
267,382300,ME,Maine,Portland
268,382951,MD,Maryland,Baltimore
269,388606,MA,Massachusetts,Boston
270,393433,MA,Massachusetts,Brockton
271,393970,MA,Massachusetts,Cambridge
272,395165,MA,Massachusetts,Fall River
273,395929,MA,Massachusetts,Lawrence
274,396489,MA,Massachusetts,Lowell
275,397245,MA,Massachusetts,Lynn
276,397917,MA,Massachusetts,New Bedford
277,398232,MA,Massachusetts,Newton
278,399401,MA,Massachusetts,Quincy
279,400017,MA,Massachusetts,Somerville
280,400577,MA,Massachusetts,Springfield
281,400945,MA,Massachusetts,Worcester
282,402933,MI,Michigan,Ann Arbor
283,404006,MI,Michigan,Dearborn
284,404734,MI,Michigan,Detroit
285,413069,MI,Michigan,Farmington Hills
286,413225,MI,Michigan,Flint
287,414944,MI,Michigan,Grand Rapids
288,416456,MI,Michigan,Kalamazoo
289,417148,MI,Michigan,Lansing
290,418452,MI,Michigan,Livonia
291,419376,MI,Michigan,Rochester Hills
292,419992,MI,Michigan,Southfield
293,420669,MI,Michigan,Sterling Heights
294,421502,MI,Michigan,Troy
295,422174,MI,Michigan,Warren
296,423427,MI,Michigan,Westland
297,424127,MI,Michigan,Wyoming
298,424624,MN,Minnesota,Bloomington
299,425268,MN,Minnesota,Brooklyn Park
300,425688,MN,Minnesota,Duluth
301,426751,MN,Minnesota,Minneapolis
302,429978,MN,Minnesota,Plymouth
303,430287,MN,Minnesota,Rochester
304,431423,MN,Minnesota,St. Paul
305,433747,MS,Mississippi,Gulfport
306,434414,MS,Mississippi,Jackson
307,435976,MO,Missouri,Columbia
308,436704,MO,Missouri,Independence
309,437618,MO,Missouri,Kansas City
310,442243,MO,Missouri,Lee's Summit
311,443030,MO,Missouri,O'Fallon
312,443694,MO,Missouri,St. Joseph
313,444422,MO,Missouri,St. Louis
314,447446,MO,Missouri,Springfield
315,449004,MT,Montana,Billings
316,449840,MT,Montana,Missoula
317,450344,NE,Nebraska,Lincoln
318,452409,NE,Nebraska,Omaha
319,456560,NV,Nevada,Henderson
320,458515,NV,Nevada,Las Vegas
321,462934,NV,Nevada,North Las Vegas
322,464360,NV,Nevada,Reno
323,466419,NV,Nevada,Sparks
324,467199,NH,New Hampshire,Manchester
325,468063,NH,New Hampshire,Nashua
326,468627,NJ,New Jersey,Camden
327,469215,NJ,New Jersey,Clifton
328,469719,NJ,New Jersey,Elizabeth
329,470498,NJ,New Jersey,Jersey City
330,472373,NJ,New Jersey,Newark
331,474897,NJ,New Jersey,Passaic
